LAST_SALE_PRICE,SQFT,LOT_SIZE,BEDS,BATHS
1300000,5310,10883,3,4.25
3191000,5870,18306,5,4
2450000,3250,25034,3,3.25
875000,3790,17360,4,2.5
171000,5520,8801,5,3
681000,2700,9204,4,2.5
751000,2502,14445,4,3
665000,2880,7260,5,2.75
815000,5030,12838,5,4.25
450000,1780,10570,2,1.75
689000,3100,18575,4,2.5
750000,2980,10000,3,1.75
615000,2730,9000,4,2
1050000,4440,6510,6,3.5
247500,1270,,3,1
690000,3880,10092,5,2.75
570000,2710,12841,4,2
350000,1490,7500,3,2.5
455000,1990,5931,3,1.75
436000,1310,9092,3,1.75
675000,2670,6250,4,2.5
351000,790,8100,2,1
401000,2100,,3,1
357400,1090,12659,2,1
400000,2580,6264,4,1.75
415000,2353,9508,4,2.5
475000,1544,7200,3,2.5
325000,960,7055,3,1
260000,1420,,2,2
500000,2780,9777,4,2
420000,1040,10200,3,1
,2180,40912,4,1.5
385000,2000,7499,3,2.5
650000,3340,10717,5,2.5
595000,2560,25904,4,2.75
379950,1500,13206,4,1.75
270000,1720,,2,1
116950,1820,15648,0,
505000,2940,12146,4,2.5
310000,1330,10650,4,1
275000,1350,,4,1
180000,760,,2,1
200000,1060,,2,1
392500,1800,6300,4,2.5
435000,2450,6000,5,3
540000,2250,12831,4,2
803000,3810,24276,3,2.75
400000,1612,7204,3,2.5
430000,2060,7000,3,2.5
799950,3216,14718,5,2.75
210000,1060,19988,3,1
444000,2120,11032,4,1.75
391000,2510,13010,3,1
425000,1450,9600,3,1
360000,680,21122,2,1
380500,1890,7526,4,1.5
375000,1040,6250,2,1
360000,2870,,5,1
450000,2230,29100,5,1.75
360000,1480,6140,4,1
525000,1890,12645,4,2.5
382000,2070,6540,3,1.75
149950,3230,27858,5,2.5
416500,1640,10571,3,2.25
420000,1460,7862,3,1.75
536000,2010,,4,1
438000,2170,10875,3,2.75
425000,1750,7213,3,1.75
325000,1020,10882,2,1
342000,1020,7501,2,1
336310,1120,8220,3,1
349950,1200,7475,2,1
452500,2200,9209,4,1.75
380000,1880,8640,4,1.75
449000,2080,8027,4,1.75
369950,1400,7140,3,1.75
340000,1260,,2,1
,1860,120542,4,4
340000,2000,9450,4,1.5
407000,1750,7273,4,1.5
515000,2500,7690,4,2.75
299950,980,7400,2,1
535000,2200,10880,5,2.75
339950,1320,11088,3,1.75
632500,2200,8134,3,1.75
591912,2460,20000,4,2.75
679000,2714,9360,5,2.75
386950,1890,9000,3,1.75
310000,1290,9730,3,1
485000,2150,7762,4,1.75
425000,1480,8718,3,2
430000,1760,8194,4,2
612000,2756,9773,3,2.25
502300,2760,12160,3,1.75
630000,2290,7268,4,2.5
379000,1710,11390,3,1.75
495000,1755,7500,4,2.5
247400,1010,7200,3,1
423000,1040,7200,3,1
364900,1540,17160,3,1.75
425000,2120,,5,2
1175000,3740,51200,4,3.25
577500,2546,15003,5,2.5
396000,1266,12000,3,2
557500,2730,12632,5,3
415000,1340,18476,3,2.25
633500,3300,20686,4,2.5
480000,2680,,5,2
613000,2890,37212,3,2.75
500000,2230,13560,3,2.5
476000,1870,9173,3,2.25
340000,1040,,3,2
450500,1640,9945,3,1.75
490000,3220,,4,1
653750,2940,23760,4,2.75
724950,3520,16055,5,3.25
619000,1430,17986,3,1.75
708500,3480,14300,4,2.5
420000,1940,8614,2,1.5
580000,4250,17950,4,2.25
1390000,6930,20973,9,7.75
989000,3368,19901,4,2.75
142000,1250,13865,2,1.75
1375000,4402,19432,6,3.5
475000,1720,18750,4,2.75
520000,,16584,4,1.75
785000,3200,52707,5,3.5
500000,2170,9248,3,2.5
58459,2060,,3,1.5
,4910,14954,5,3.75
582500,2740,12164,4,3.25
599000,2740,,6,2
700000,2810,20136,4,3.25
1300000,3240,42384,3,3
445000,1330,11585,3,1.75
487000,1890,8209,3,1.75
433900,1610,9248,3,1.75
334000,1440,,5,1
498500,2320,29720,3,2.5
465000,1800,9263,4,2
350000,1010,17850,2,1
380000,2080,8625,3,2
725000,2090,30678,3,1.5
399000,1315,8690,3,1.75
725000,3500,9661,5,2.5
530000,2820,9854,3,2.25
265000,2930,10500,5,2.5
400000,2280,15021,3,2
520000,3100,11200,4,2.5
605000,3000,10700,4,3.5
375000,1780,,3,1.75
385000,2220,9200,4,2.5
614000,2310,10900,4,2.25
535000,1950,19200,3,2.5
463000,1480,18455,4,2.25
395000,3480,14944,7,2
545000,2150,14300,4,2.25
550000,3400,13000,5,2.5
530000,2060,10515,4,2.25
700000,2340,66129,3,1.5
590000,3480,10232,4,2.5
512500,2600,10215,3,2
380000,1300,9154,2,1.75
425000,1740,9400,3,2.5
379000,2140,14952,3,1.75
524000,2440,15261,4,2.25
530000,2700,30000,4,2.25
583400,2730,12220,4,2.5
710000,3790,12640,4,2.75
685000,3790,10620,4,2.5
667000,3880,33982,3,2
590000,2550,9750,4,2.5
695000,3920,10700,4,4
450000,1540,16100,3,1
572000,2670,20909,6,2.5
406000,2410,,4,2
498750,2280,10176,3,1.75
525000,2320,7202,4,2.75
459065,1980,,4,1
395000,1820,11235,3,2.25
640000,2560,9500,4,2.5
523000,2960,14832,5,2.5
469950,1910,31878,3,2.25
491500,1810,10894,3,3
553500,2220,8928,5,1.75
525000,2160,13939,4,2.5
390000,1930,13200,3,1.75
665000,2950,14593,5,3.5
850000,4022,13681,3,3
364000,1140,8127,3,1
500000,1930,8127,3,1.5
595000,2290,7845,4,2.5
950000,3400,9637,4,3.5
,3240,11192,5,2.75
402000,1347,8748,3,0.75
697378,3020,10450,5,3
500210,2260,7741,4,2.25
428750,1150,,3,1
428750,1150,,3,1
375000,1020,6120,2,1
520000,2030,5950,3,2
275000,3380,6800,4,3.75
275000,3380,6800,4,3.75
587500,1990,8250,2,2.5
587500,1990,8250,2,2.5
266668,2200,,3,1
266668,2200,,3,1
790000,2650,7425,4,2.5
790000,2650,7425,4,2.5
660000,2300,5852,3,2
635000,2340,7560,3,1.75
400000,930,,2,1
550000,2520,6930,5,1.75
486500,1600,6250,2,1
480000,1980,7128,3,1
615500,2000,6750,3,1.75
535000,2240,6750,3,2
507000,1900,6210,3,1
535000,2680,7560,5,1.75
888000,3168,7610,4,3.5
708000,2700,8010,4,1.75
708000,2700,8010,4,1.75
335000,1120,,2,1
622000,2340,7008,4,1.75
548800,1470,7424,3,1.5
312100,1660,5922,3,1
955000,2980,5500,4,2.75
955000,2980,5500,4,2.75
707000,3484,6840,5,2.75
707000,3484,6840,5,2.75
390000,1070,4739,2,2
580000,2380,6400,4,2.25
399000,860,,2,1
880000,2642,8100,4,2.5
880000,2642,8100,4,2.5
615000,2440,7560,3,2
500000,1450,,4,2.25
421500,1870,7560,4,1.5
865123,3290,8910,5,3.25
865123,3290,8910,5,3.25
607000,2420,6750,4,2.75
607000,2420,6750,4,2.75
750000,3500,15120,4,3
601000,2000,7560,3,2
600000,2280,8156,4,1.75
675000,3600,7241,6,3.25
375000,1280,9309,2,1
450000,2590,7250,3,2
530000,2110,6233,4,1.75
495500,1470,11973,3,1
485000,2040,7650,4,1.75
349950,1150,6771,2,2
680000,2820,7943,4,2.25
632000,2450,7200,4,2.75
555000,2660,7621,4,2.25
555000,1600,6591,3,2.75
550000,2460,7367,3,3
521400,1920,9954,3,1.75
492800,1800,7370,4,2
92500,1640,6467,2,1.75
560000,1870,7400,4,1.5
300000,820,,2,1
514000,1460,7200,3,1.5
399500,1420,7200,2,1
500000,2270,6265,3,1
533000,2510,7650,4,1.75
416000,1800,6269,2,1.5
353000,2620,8000,4,1.75
810000,3670,11183,4,3.25
415000,1110,6584,2,1
410000,2020,7370,3,1.75
684000,2910,7200,6,3
342500,1190,,2,1
405000,1820,8000,2,1
353800,1390,,3,1
484250,1190,7934,3,1
250000,980,7200,3,1
535000,1600,6575,3,1.75
575000,2560,11411,4,3.25
525000,1970,5040,3,2.75
500000,3170,9299,4,2.5
545000,2897,7781,4,1.75
380000,1060,7632,2,1
775000,2260,6574,4,2.5
525000,1420,7892,3,1.5
535000,990,7970,3,1.5
625000,2020,6233,3,2
447500,1010,3844,2,1
527000,1340,5100,2,1.75
600000,2360,,2,3
437000,1115,3555,2,1.5
443900,1450,5085,3,1.75
395000,1760,3708,2,1.75
450000,1310,3844,1,1
476000,2510,3777,5,2
605000,1950,8100,4,2.5
550000,1860,8100,3,2
567000,1520,5712,3,1.75
435100,1140,5598,3,1
540000,890,8100,2,1
574000,2370,5552,4,2.75
556450,1560,5508,3,1.75
330000,730,,2,1
483500,1160,6726,3,1
340000,2160,,5,3
790100,2570,6379,4,3
423000,1440,5927,2,1.5
385000,1270,8129,2,1
400000,1970,3383,3,1.5
520000,2550,7440,4,2.75
569000,2440,7440,4,2
422000,790,3844,2,1
335000,580,5287,1,1
760000,1640,,3,1
565000,2440,6930,3,2.5
475500,1270,3844,3,1.75
401000,1180,3844,3,1
400000,860,3844,2,1
442000,1240,3844,3,1.5
480000,1360,5100,2,1
670100,2820,3844,4,3.75
475000,990,5100,2,1
569950,2440,7440,3,2
375000,940,4114,2,1
565000,1520,3844,3,1
501500,1900,3720,4,1.75
505000,1800,7440,3,2.75
807000,2988,7156,3,2.5
575000,2500,3844,5,3
425000,1020,,2,1
415000,1060,3844,2,1
438805,1210,7744,2,1
600000,1390,5100,3,1.75
409600,870,6283,2,1
330000,830,6081,2,1
470000,1540,4960,3,2
635000,2340,2883,4,2.5
400000,1870,3844,3,2
475000,1660,3649,3,1.75
719000,2440,4158,5,2.5
370000,770,7156,2,1
480000,1780,,4,1
530000,1850,5100,3,1
425000,1680,5121,3,1.5
482500,1460,3844,3,1.5
475000,3180,6698,5,2.75
413000,2720,,5,2.5
380000,1860,3844,4,1.5
557000,1740,8808,3,1
800000,2290,5000,3,2.5
553000,1070,6378,3,2.25
400000,1320,,2,2
690000,2351,3844,5,2.5
556000,2040,4805,4,2
389000,1200,3827,3,1
367000,1800,5270,2,1.75
439950,1080,3844,2,1.75
619000,1938,5395,4,2.5
765000,2780,3696,3,3
680000,2370,2700,3,3
575000,2080,3844,4,1.5
640000,2340,2571,3,3
392000,790,5100,2,1
475000,1860,3762,3,3
900000,2750,5338,4,2.5
600000,780,,2,1
505000,1560,6356,4,1.5
450000,1810,7440,4,1.5
670000,2260,5026,4,2.5
449800,1360,,2,1
352000,1270,6079,3,2
600000,1300,2550,3,2
312000,800,,2,1
412012,1420,5765,2,1
486000,1040,6079,2,1.5
445000,940,7371,2,1
331000,601,6350,2,1
680000,2230,5684,3,2
745000,2900,5977,5,1.75
745000,2900,5977,5,1.75
475600,1640,4000,2,1
265000,700,,2,1
429000,2170,7042,2,1.5
429000,2170,7042,2,1.5
637000,1740,3960,3,1.5
637000,1740,3960,3,1.5
258000,1910,9100,2,1.75
258000,1910,9100,2,1.75
525000,1720,6300,3,1.75
410000,840,6586,2,1
385000,1090,,3,1
385000,1090,,3,1
800000,2303,3960,3,2.5
385000,1200,,3,1
839000,1100,,3,1
510000,940,5560,3,1
590550,1921,5009,3,2.5
539700,1220,5514,3,1.5
539700,1220,5514,3,1.5
300000,650,4800,2,1
452500,1300,6210,2,1.75
452500,1300,6210,2,1.75
630000,2250,5000,5,2.75
630000,2250,5000,5,2.75
450000,1100,9867,2,1
452000,1379,5461,3,1
448175,1120,6985,3,1.5
340000,1580,4011,3,1
340000,1580,4011,3,1
